title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Cozy 1BHK Studio in Powai","Mumbai","Powai","1","676","9","19","3","Semi-Furnished","North","Studio","Buy","15443882","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Borivali","Mumbai","Borivali","3","966","19","22","25","Furnished","South-West","Builder Floor","Rent","74765","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Kandivali","Mumbai","Kandivali","3","867","6","7","7","Unfurnished","North-West","Apartment","Buy","13081383","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Powai","Mumbai","Powai","1","783","18","18","23","Semi-Furnished","South-East","Villa","Buy","14384281","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Goregaon","Mumbai","Goregaon","3","1577","16","31","18","Unfurnished","North-East","Independent House","Buy","22949476","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Kandivali","Mumbai","Kandivali","2","1170","15","29","16","Unfurnished","East","Independent House","Buy","16526914","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Thane","Mumbai","Thane","1","859","2","11","22","Furnished","East","Studio","Buy","9788497","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Navi Mumbai","Mumbai","Navi Mumbai","4","1074","9","12","14","Unfurnished","North-West","Independent House","Buy","11240437","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Bandra West","Mumbai","Bandra West","2","1312","","2","7","Semi-Furnished","North-West","Builder Floor","Buy","46769126","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Lower Parel","Mumbai","Lower Parel","1","695","17","20","7","Furnished","North-East","Villa","Buy","24512171","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Thane","Mumbai","Thane","3","936","3","9","20","Semi-Furnished","West","Builder Floor","Buy","9755047","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Kandivali","Mumbai","Kandivali","3","1775","20","34","16","Unfurnished","North-East","Independent House","Buy","26257952","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Andheri West","Mumbai","Andheri West","4","1165","","10","21","Furnished","West","Studio","Buy","23898829","true","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Thane","Mumbai","Thane","1","1016","19","32","6","Semi-Furnished","South-West","Apartment","Buy","12113444","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Versova","Mumbai","Versova","4","1881","17","20","24","Semi-Furnished","East","Villa","Buy","30429800","true","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Dahisar","Mumbai","Dahisar","4","1833","6","12","9","Furnished","North","Builder Floor","Buy","27697731","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Borivali","Mumbai","Borivali","3","957","1","16","17","Semi-Furnished","South-East","Independent House","Buy","12850412","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Juhu","Mumbai","Juhu","2","1175","19","32","3","Furnished","North","Apartment","Buy","46223788","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Bandra West","Mumbai","Bandra West","1","922","3","8","16","Unfurnished","North-East","Studio","Buy","27369883","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Navi Mumbai","Mumbai","Navi Mumbai","2","1207","9","11","11","Semi-Furnished","South","Studio","Buy","13995289","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Juhu","Mumbai","Juhu","3","1777","7","7","25","Furnished","North-West","Studio","Buy","52452228","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Andheri West","Mumbai","Andheri West","2","705","1","7","14","Semi-Furnished","West","Builder Floor","Rent","64154","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Goregaon","Mumbai","Goregaon","2","929","18","29","10","Furnished","West","Villa","Buy","16889987","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Lower Parel","Mumbai","Lower Parel","3","1266","20","26","2","Semi-Furnished","West","Studio","Rent","134417","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Versova","Mumbai","Versova","1","713","5","9","16","Unfurnished","West","Independent House","Rent","27150","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Goregaon","Mumbai","Goregaon","5","2077","10","23","7","Unfurnished","West","Apartment","Rent","126342","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Kandivali","Mumbai","Kandivali","3","1238","8","16","10","Furnished","South-East","Apartment","Rent","73888","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Goregaon","Mumbai","Goregaon","3","1290","8","23","7","Semi-Furnished","South","Villa","Buy","22676964","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Versova","Mumbai","Versova","2","984","7","20","25","Unfurnished","North-West","Independent House","Buy","14300079","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Mira Road","Mumbai","Mira Road","4","2199","11","18","6","Semi-Furnished","North-East","Apartment","Rent","59719","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Borivali","Mumbai","Borivali","1","1089","2","17","23","Unfurnished","South-East","Apartment","Rent","20416","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Villa in Mira Road","Mumbai","Mira Road","5","2241","3","18","20","Semi-Furnished","South","Villa","Buy","19848529","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Navi Mumbai","Mumbai","Navi Mumbai","1","954","19","33","6","Unfurnished","East","Studio","Rent","16185","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Kandivali","Mumbai","Kandivali","3","1059","17","21","3","Unfurnished","West","Apartment","Buy","18471628","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Builder Floor in Dahisar","Mumbai","Dahisar","5","1995","9","9","10","Semi-Furnished","South-West","Builder Floor","Buy","26956053","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Lower Parel","Mumbai","Lower Parel","3","1340","1","3","4","Unfurnished","East","Apartment","Buy","39658334","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Worli","Mumbai","Worli","2","1370","2","8","1","Unfurnished","South-West","Studio","Rent","97903","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Lower Parel","Mumbai","Lower Parel","5","1722","3","5","19","Unfurnished","West","Studio","Buy","42319108","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Thane","Mumbai","Thane","2","932","11","19","22","Furnished","South-East","Apartment","Buy","10202264","","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Goregaon","Mumbai","Goregaon","1","881","14","15","13","Unfurnished","North-West","Independent House","Rent","24025","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Thane","Mumbai","Thane","3","1668","14","27","21","Semi-Furnished","North","Independent House","Rent","58652","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Kandivali","Mumbai","Kandivali","1","890","16","24","1","Semi-Furnished","West","Independent House","Buy","16876774","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Villa in Kandivali","Mumbai","Kandivali","5","2503","15","30","15","Furnished","North","Villa","Buy","37109558","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in Bandra West","Mumbai","Bandra West","1","1025","4","15","23","Unfurnished","East","Builder Floor","Rent","49047","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Malad","Mumbai","Malad","2","1141","20","32","22","Unfurnished","North-East","Apartment","Buy","15862922","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Goregaon","Mumbai","Goregaon","1","738","12","24","11","Unfurnished","North","Studio","Buy","12055405","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Malad","Mumbai","Malad","2","1014","7","10","4","Furnished","West","Villa","Buy","20571649","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Kandivali","Mumbai","Kandivali","3","985","4","19","25","Semi-Furnished","East","Villa","Buy","11570167","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Thane","Mumbai","Thane","3","1695","8","10","11","Furnished","South-West","Independent House","Buy","21773689","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Thane","Mumbai","Thane","2","705","20","27","21","Furnished","South-East","Studio","Buy","7459870","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Juhu","Mumbai","Juhu","2","960","","","22","Furnished","North-West","Apartment","Buy","26495764","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Worli","Mumbai","Worli","2","1335","9","24","25","Furnished","West","Builder Floor","Buy","35252946","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Dahisar","Mumbai","Dahisar","3","896","9","14","14","Furnished","East","Villa","Rent","61354","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Goregaon","Mumbai","Goregaon","2","1002","","7","15","Unfurnished","North-East","Builder Floor","Rent","51809","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Borivali","Mumbai","Borivali","2","1143","19","30","18","Semi-Furnished","North-East","Builder Floor","Rent","42583","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Versova","Mumbai","Versova","2","1043","8","20","21","Semi-Furnished","West","Studio","Rent","60970","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Powai","Mumbai","Powai","1","932","8","21","10","Unfurnished","South","Studio","Buy","17931684","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Worli","Mumbai","Worli","3","1632","16","27","16","Semi-Furnished","South-West","Villa","Rent","152001","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Andheri West","Mumbai","Andheri West","1","993","16","25","21","Unfurnished","South","Studio","Buy","18303225","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Worli","Mumbai","Worli","3","998","6","10","1","Unfurnished","North-East","Villa","Rent","135070","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Vatika City","Gurgaon","Vatika City","3","1558","1","6","","Semi-Furnished","West","Independent House","Buy","16104424","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Nirvana Country","Gurgaon","Nirvana Country","4","2178","7","18","5","Unfurnished","West","Villa","Rent","75023","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in South City","Gurgaon","South City","1","839","12","16","20","Furnished","North","Apartment","Buy","6787756","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in MG Road","Gurgaon","MG Road","3","1810","2","5","25","Furnished","North-East","Villa","Buy","16770152","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Vatika City","Gurgaon","Vatika City","1","620","1","1","","Unfurnished","South-West","Studio","Rent","17705","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Udyog Vihar","Gurgaon","Udyog Vihar","2","1470","5","19","21","Furnished","South-East","Independent House","Buy","10904712","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Golf Course Road","Gurgaon","Golf Course Road","3","1675","7","14","1","Semi-Furnished","South-West","Villa","Buy","25761223","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Sector 56","Gurgaon","Sector 56","4","1790","12","14","6","Semi-Furnished","North-East","Builder Floor","Buy","16418714","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in MG Road","Gurgaon","MG Road","4","2136","11","23","23","Furnished","West","Villa","Rent","95413","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Cyber City","Gurgaon","Cyber City","1","1133","6","12","9","Unfurnished","North-West","Independent House","Buy","12458825","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Sohna Road","Gurgaon","Sohna Road","1","748","11","13","9","Semi-Furnished","North-West","Studio","Buy","6193587","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Sector 14","Gurgaon","Sector 14","1","709","6","9","11","Unfurnished","North-West","Apartment","Buy","6094028","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Vatika City","Gurgaon","Vatika City","3","1343","5","17","12","Unfurnished","North-East","Builder Floor","Buy","10835353","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in DLF Phase 1","Gurgaon","DLF Phase 1","4","1525","1","5","24","Semi-Furnished","South-East","Independent House","Buy","15324163","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Vatika City","Gurgaon","Vatika City","1","795","4","14","6","Unfurnished","South","Builder Floor","Buy","7357374","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Sohna Road","Gurgaon","Sohna Road","4","1251","9","13","23","Semi-Furnished","East","Studio","Buy","8214044","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Udyog Vihar","Gurgaon","Udyog Vihar","2","1460","1","14","1","Unfurnished","South-East","Studio","Rent","33707","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Cyber City","Gurgaon","Cyber City","3","1763","6","11","22","Unfurnished","South-East","Independent House","Rent","69310","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in South City","Gurgaon","South City","1","853","10","20","5","Semi-Furnished","East","Villa","Buy","7462009","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Sector 56","Gurgaon","Sector 56","2","997","15","30","19","Unfurnished","North","Independent House","Buy","7235911","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Palam Vihar","Gurgaon","Palam Vihar","3","1844","4","14","12","Semi-Furnished","West","Apartment","Rent","46188","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Cyber City","Gurgaon","Cyber City","4","1427","6","18","19","Unfurnished","North-West","Studio","Rent","90912","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in DLF Phase 2","Gurgaon","DLF Phase 2","5","1234","13","25","3","Unfurnished","South-West","Independent House","Buy","16389703","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Sector 29","Gurgaon","Sector 29","5","2133","5","15","10","Unfurnished","South-East","Independent House","Buy","20584533","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Manesar","Gurgaon","Manesar","4","1456","5","17","2","Furnished","South","Villa","Buy","10122502","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in DLF Phase 2","Gurgaon","DLF Phase 2","3","1545","1","8","3","Semi-Furnished","North-East","Builder Floor","Rent","78593","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Cyber City","Gurgaon","Cyber City","2","798","10","11","13","Unfurnished","East","Builder Floor","Buy","7788197","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Manesar","Gurgaon","Manesar","1","567","10","20","10","Semi-Furnished","South-East","Studio","Buy","3206979","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Sector 29","Gurgaon","Sector 29","2","1364","9","20","10","Furnished","North-East","Independent House","Rent","41136","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Villa in Udyog Vihar","Gurgaon","Udyog Vihar","5","2207","14","22","20","Unfurnished","North","Villa","Buy","15601147","true","","Sunita Verma","+91-9543210987"
